EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	23:21:55	0	0.1000	8.048351891186773	1.898419737815857	0.8456	0.7120	0.7731
2	23:22:08	0	0.1000	1.6799560687979873	0.6449254155158997	0.8613	0.8820	0.8715
3	23:22:22	0	0.1000	0.9602584060357542	0.38109567761421204	0.9255	0.9440	0.9347
4	23:22:35	1	0.1000	0.6436182053721681	0.49562206864356995	0.8616	0.8840	0.8727
5	23:22:45	0	0.1000	0.5517618595337381	0.2230025827884674	0.9699	0.9680	0.9690
6	23:22:58	0	0.1000	0.4094772983570488	0.14185886085033417	0.9700	0.9700	0.9700
7	23:23:11	0	0.1000	0.3757366124464541	0.12086606025695801	0.9741	0.9780	0.9760
8	23:23:24	0	0.1000	0.30632804060468866	0.0914660096168518	0.9742	0.9800	0.9771
9	23:23:38	0	0.1000	0.22720068328234613	0.08476147055625916	0.9761	0.9820	0.9791
10	23:23:51	0	0.1000	0.2453560920394197	0.0742316022515297	0.9880	0.9860	0.9870
11	23:24:04	1	0.1000	0.20155171152888512	0.05912670120596886	0.9820	0.9840	0.9830
12	23:24:14	0	0.1000	0.1977972222530112	0.05627086013555527	0.9900	0.9880	0.9890
13	23:24:27	1	0.1000	0.16845192075992116	0.06355343759059906	0.9820	0.9840	0.9830
14	23:24:38	2	0.1000	0.15571171349408675	0.062009356915950775	0.9840	0.9860	0.9850
15	23:24:47	3	0.1000	0.13132974003650705	0.045114967972040176	0.9880	0.9880	0.9880
16	23:24:57	0	0.1000	0.16619715398671675	0.05016002804040909	0.9920	0.9880	0.9900
17	23:25:11	1	0.1000	0.1318693817878256	0.04806772246956825	0.9860	0.9880	0.9870
18	23:25:21	2	0.1000	0.12253217064604467	0.03790959343314171	0.9801	0.9860	0.9831
19	23:25:31	3	0.1000	0.12636123548204803	0.04612664505839348	0.9880	0.9860	0.9870
20	23:25:41	4	0.1000	0.10937083497339366	0.03551793098449707	0.9821	0.9880	0.9850
21	23:25:51	1	0.0500	0.09107951162268921	0.04033815115690231	0.9880	0.9900	0.9890
22	23:26:01	2	0.0500	0.10743007208315694	0.0352325513958931	0.9880	0.9880	0.9880
23	23:26:11	0	0.0500	0.08118660930468112	0.03287301957607269	0.9920	0.9900	0.9910
24	23:26:25	1	0.0500	0.08813924692115005	0.03307567536830902	0.9900	0.9900	0.9900
25	23:26:35	2	0.0500	0.0970912149974278	0.0465129129588604	0.9920	0.9900	0.9910
26	23:26:45	3	0.0500	0.09745918335963269	0.031111037358641624	0.9900	0.9880	0.9890
27	23:26:55	0	0.0500	0.08198445347346822	0.028597040101885796	0.9920	0.9900	0.9910
28	23:27:08	0	0.0500	0.08187060537082809	0.029941432178020477	0.9940	0.9920	0.9930
29	23:27:21	1	0.0500	0.07759720535606754	0.035040829330682755	0.9900	0.9880	0.9890
30	23:27:31	2	0.0500	0.08761328017833281	0.03432858735322952	0.9920	0.9900	0.9910
31	23:27:41	3	0.0500	0.08821673463193738	0.029697012156248093	0.9900	0.9880	0.9890
32	23:27:51	4	0.0500	0.07870144100517643	0.029899822548031807	0.9920	0.9900	0.9910
33	23:28:02	0	0.0250	0.0777096083501772	0.027515677735209465	0.9940	0.9920	0.9930
34	23:28:15	1	0.0250	0.07665430609973109	0.028914157301187515	0.9940	0.9920	0.9930
35	23:28:25	2	0.0250	0.0745047437293189	0.025525346398353577	0.9900	0.9900	0.9900
36	23:28:35	3	0.0250	0.0768346543214759	0.02800874225795269	0.9940	0.9920	0.9930
37	23:28:45	4	0.0250	0.07119955175689288	0.027406496927142143	0.9920	0.9900	0.9910
38	23:28:55	1	0.0125	0.0799233540892601	0.028856122866272926	0.9920	0.9900	0.9910
39	23:29:05	2	0.0125	0.08217396222207012	0.027710676193237305	0.9920	0.9900	0.9910
40	23:29:14	3	0.0125	0.06666144386542086	0.028246402740478516	0.9920	0.9900	0.9910
41	23:29:25	4	0.0125	0.07978238705165532	0.026461755856871605	0.9920	0.9900	0.9910
42	23:29:35	1	0.0063	0.06444742971537065	0.02779288776218891	0.9920	0.9900	0.9910
43	23:29:45	2	0.0063	0.05726466780262334	0.0275571346282959	0.9920	0.9900	0.9910
44	23:29:54	3	0.0063	0.08317724377753175	0.026057230308651924	0.9920	0.9900	0.9910
